formula,compounds,cas,molar_weigth,tfp_k,Tb(K),Tc(K),Pc(bar),Vc(cm3/mol),zc,omega,tmin_K,tmax_K,cp_trange,cp_a0,cp_a1,cp_a2,cp_a3,cp_a4,cpig,cpliq,antoine_a,antoine_b,antoine_c,pvpmin_bar,tmin_k,pvpmax_bar,tmax_k
CClF3,chlorotrifluoromethane,75-72-9,104.459,92,191.71,301.84,38.73,180.3,0.276,0.175,50.0,1000.0,50.0-1000.0,2.369,0.023861,-1.58E-05,-3.66E-09,5.28E-12,66.87,,3.90353,654.656,249.39,0.02,140.61,2,205.48
CH3F,fluoromethane,593-53-3,34.033,131.35,194.88,315,55.48,113.3,0.24,0.204,50.0,1000.0,50.0-1000.0,4.561,-0.010437,4.81E-05,-5.07E-08,1.77E-11,37.51,,4.19421,734.222,253.57,0.02,144.17,2,208.17
C2F6,hexafluoroethane,76-16-4,138.012,173.05,195.21,293.04,30.39,221.9,0.277,0.257,50.0,1000.0,50.0-1000.0,2.525,0.043543,-2.95E-05,-6.30E-09,9.67E-12,106.54,,3.68388,572.733,233.65,0.3,175.65,2,208.8
C2F4,tetrafluoroethene,116-14-3,100.016,142,197.51,306.4,39.44,172,0.266,,200.0,1000.0,200.0-1000.0,2.223,0.036551,-4.78E-05,3.28E-08,-9.31E-12,80.41,,,,,,,,
F4N2,tetrafluorohydrazine,10036-47-2,104.007,111.65,198.95,309.2,37,181,0.222,,,,,,,,,,,,,,,,,,
FNO2,nitrogen dioxyfluoride,10022-50-1,65.004,107.15,200.75,349.3,82,,,,298.0,1000.0,298.0-1000.0,1.62,0.020883,-2.51E-05,1.59E-08,-4.20E-12,49.89,,3.9583,654.55,238,0.02,151,2,214.12
BrH,hydrogen bromide,10035-10-6,80.912,186.34,206.46,363.2,85.1,,,0.069,50.0,1000.0,50.0-1000.0,3.842,-0.003098,9.17E-06,-1.03E-08,4.26E-12,29.14,,3.41243,540.82,225.44,0.3,185.1,2,221.53
BrD,deuterium bromide,13536-59-9,81.918,185.69,206.65,362,,,,,50.0,1000.0,50.0-1000.0,3.716,-0.002318,7.38E-06,-7.17E-09,2.50E-12,29.23,,3.28728,505.68,220.6,0.3,185.2,2,221.89
F6S,sulfur hexafluoride,2551-62-4,146.056,222.45,209.25,318.72,37.6,198.4,0.282,0.208,,,,,,,,,,,5.5409,1096.5,262,0.02,162,2,220.4
Rn,radon,10043-92-2,222.018,202.15,209.8,377,63,140,0.281,,,,,2.5,0,0,0,0,20.79,,4.6204,884.41,255,0.02,158,2,222.9
H2S,hydrogen sulfide,6/4/7783,34.082,187.62,212.84,373.4,89.63,98,0.283,0.09,50.0,1000.0,50.0-1000.0,4.266,-0.003438,1.32E-05,-1.33E-08,4.88E-12,34.12,74.68,4.22882,806.933,251.39,0.2,185.51,2,227.2
CBrF3,bromotrifluoromethane,75-63-8,148.91,105.15,215.41,340.15,39.7,200,0.275,0.174,100.0,1000.0,100.0-1000.0,1.959,0.030789,-3.78E-05,2.24E-08,-5.15E-12,69.24,,3.8964,731.31,245.7,0.02,158.1,2,230.85
CH2F2,difluoromethane,75-10-5,52.024,137,221.43,351.26,58.05,121,0.245,0.278,50.0,1000.0,50.0-1000.0,4.15,-0.005584,4.38E-05,-5.16E-08,1.92E-11,42.88,,4.29712,833.137,245.86,0.02,166.23,2,235.78
C2HF5,pentafluoroethane,354-33-6,120.022,170.15,225.06,339.17,36.15,211.3,0.271,0.305,50.0,1000.0,50.0-1000.0,3.146,0.029937,-5.60E-07,-3.02E-08,1.67E-11,94.4,,4.13392,800.869,242.09,0.02,168.36,2,240.01
C3H6,propene (propylene),115-07-1,42.081,87.89,225.46,364.9,46,184.6,0.28,0.142,50.0,1000.0,50.0-1000.0,3.834,0.003893,4.69E-05,-6.01E-08,2.28E-11,64.32,112,3.95606,789.624,247.58,0.02,165.2,2,241.61
C2H3F3,"1,1,1-trifluoroethane (R-143a)",420-46-2,84.041,161.85,225.86,346.3,37.92,193.6,0.255,0.259,50.0,1000.0,50.0-1000.0,2.577,0.023727,4.80E-06,-2.82E-08,1.44E-11,78.61,,4.068,801.34,244.55,0.02,167.55,2,241.33
ClFO3,perchloryl fluoride,7616-94-6,102.449,125.41,226.49,368.4,53.7,161,0.282,,298.0,1000.0,298.0-1000.0,0.47,0.036338,-4.80E-05,3.15E-08,-8.30E-12,64.93,,4.02009,791.727,243.88,0.02,167.8,2,242.15
H2Se,hydrogen selenide,7/5/7783,80.976,207.42,228.25,411,89.2,,,,,,,,,,,,,,4.7603,927.6,240,0.02,177,2,213
C3H8,propane,74-98-6,44.097,91.45,231.02,369.83,42.48,200,0.276,0.152,50.0,1000.0,50.0-1000.0,3.847,0.005131,6.01E-05,-7.89E-08,3.08E-11,73.6,120,3.92828,803.997,247.04,0.02,168.9,2,247.76
CHClF2,chlorodifluoromethane (R-22),75-45-6,86.468,115.73,232.14,369.28,49.86,166,0.274,0.221,50.0,1000.0,50.0-1000.0,3.164,0.010422,1.18E-05,-2.65E-08,1.22E-11,55.85,110,4.13253,835.462,243.46,0.02,173.13,2,247.74
F4S,sulfur tetrafluoride,7783-60-0,108.06,148.15,233.15,364,43.3,146,0.209,0.258,298.0,1000.0,298.0-1000.0,-0.808,0.051235,-8.25E-05,6.34E-08,-1.89E-11,72.03,,3.9644,823.4,248,0.02,170,2,249.92
C2ClF5,"1-chloro-1,1,2,2,2-pentafluoroethane",76-15-3,154.467,173.73,234.08,353.1,31.29,256,0.273,0.251,50.0,1000.0,50.0-1000.0,2.355,0.050469,-5.16E-05,2.04E-08,-1.39E-12,111.1,,3.93652,795.212,241.37,0.02,172.89,2,250.52
C2HF5O,pentafluorodimethyl ether (E-125),3822-68-2,136.022,116,235,354.5,36.31,236.11,0.237,0.326,,,,,,,,,,,,,,,,,
C2H5F,fluoroethane,353-36-6,48.06,129.95,235.43,375.28,50.27,164,0.267,0.217,50.0,1000.0,50.0-1000.0,3.881,0.001616,4.80E-05,-6.16E-08,2.36E-11,59.61,,4.21998,897.368,250.66,0.02,174.1,2,251.47
C3F8,octafluoropropane,76-19-7,188.02,125.6,236.6,345.1,26.8,299.82,0.28,0.325,200.0,1000.0,200.0-1000.0,1.605,0.076488,-8.71E-05,4.54E-08,-8.56E-12,147.95,,,,,,,,
DI,deuterium iodide,14104-45-1,128.919,221.28,237.52,421.8,,,,,50.0,1000.0,50.0-1000.0,3.741,-0.002862,1.00E-05,-1.05E-08,3.82E-12,29.36,,2.72964,414.68,187.87,0.4,217.8,2,256.03
HI,hydrogen iodide,10034-85-2,127.912,222.38,237.57,423.9,90,132.7,,0.038,50.0,1000.0,50.0-1000.0,3.648,-0.001392,3.89E-06,-3.26E-09,1.10E-12,29.16,,2.69803,405.33,186.13,0.4,217.9,2,256.12
C3H4,"1,2-propadiene",463-49-0,40.065,136.85,238.77,394,52.5,173.9,0.279,0.122,50.0,1000.0,50.0-1000.0,3.403,0.006271,3.39E-05,-5.11E-08,2.16E-11,81.82,,2.8386,458.06,196.07,0.02,178,2,257
Cl2,chlorine,7782-50-5,70.905,172.19,239.12,417,77,124,0.275,,50.0,1000.0,50.0-1000.0,3.056,0.0053708,-8.10E-06,5.69E-09,-1.53E-12,29.14,,4.0628,861.34,246.33,0.02,176.31,2,255.79
H3N,ammonia,7664-41-7,17.031,195.41,239.82,405.4,113.53,72.47,0.255,0.257,50.0,1000.0,50.0-1000.0,4.238,-0.004215,2.04E-05,-2.13E-08,7.61E-12,35.65,83,4.4854,926.132,240.17,0.05,193.03,2,254.31
C3H6,cyclopropane,75-19-4,42.081,145.73,240.34,398.25,55.75,162.8,0.274,0.13,50.0,1000.0,50.0-1000.0,4.493,-0.018097,0.00012744,-1.60E-07,6.43E-11,55.57,,4.03084,866.15,248,0.02,176.3,2,257.37
D3N,trideuteroammonia,13550-49-7,20.049,198.82,242.1,405.5,113,72,0.241,,50.0,1000.0,50.0-1000.0,4.09,-0.003243,2.37E-05,-2.64E-09,9.61E-12,38.23,,4.61234,966.226,240.8,0.05,195.75,2,256.46
CCl2F2,dichlorodifluoromethane (R-12),75-71-8,120.913,115.19,243.45,385.1,41.3,217,0.28,0.179,50.0,1000.0,50.0-1000.0,2.185,0.031251,-3.72E-05,1.93E-08,-3.23E-12,72.28,119,4.01171,868.076,246.39,0.02,178.77,2,260.7
C2H2F4,"1,1,1,2-tetrafluoroethane (R-134a)",811-97-2,102.032,172.15,247.04,374.26,40.59,200.8,0.262,0.326,50.0,1000.0,50.0-1000.0,3.064,0.02542,5.86E-06,-3.34E-08,1.72E-11,86.64,,4.11874,850.881,232.99,0.02,186.41,2,263.04
C2H6O,dimethyl ether,115-10-6,46.069,131.65,248.31,400.1,54,170,0.276,,100.0,1000.0,100.0-1000.0,4.361,0.00607,2.90E-05,-3.58E-08,1.28E-11,65.57,,4.44136,1025.56,256.05,0.02,184.1,2,264.8
